user_id,membership_type_id,membership_status_id,startDate
1717,1,1,2000-01-01
1680,1,1,2000-01-01
1724,1,1,2000-01-01
1726,1,1,2000-01-01
1683,1,1,2000-01-01
1599,1,1,2000-01-01
1730,1,1,2000-01-01
1729,1,1,2000-01-01
1704,1,1,2000-01-01
1600,1,1,2000-01-01
1691,1,1,2000-01-01
1693,1,1,2000-01-01
1696,1,1,2000-01-01
1701,1,1,2000-01-01
1707,1,1,2000-01-01
1713,1,1,2000-01-01
1653,1,1,2000-01-01
1655,1,1,2000-01-01
1659,1,1,2000-01-01
1672,1,1,2000-01-01
1679,1,1,2000-01-01
1678,1,1,2000-01-01
1610,1,1,2000-01-01
1662,1,1,2000-01-01
1673,1,1,2000-01-01
1595,1,1,2000-01-01
1596,1,1,2000-01-01
1664,1,1,2000-01-01
1740,1,1,2000-01-01
1669,1,1,2000-01-01
1612,1,1,2000-01-01
1720,1,1,2000-01-01
1695,1,1,2000-01-01
1690,1,1,2000-01-01
1700,1,1,2000-01-01
1710,1,1,2000-01-01
1708,1,1,2000-01-01
1605,1,1,2000-01-01
1705,1,1,2000-01-01
1689,1,1,2000-01-01
1732,1,1,2000-01-01
1601,1,1,2000-01-01
1734,1,1,2000-01-01
1670,1,1,2000-01-01
1686,1,1,2000-01-01
1628,1,1,2000-01-01
1747,1,1,2000-01-01
1731,1,1,2000-01-01
1715,1,1,2000-01-01
1675,1,1,2000-01-01
1592,1,1,2000-01-01
1593,1,1,2000-01-01
1611,1,1,2000-01-01
1746,1,1,2000-01-01
1706,1,1,2000-01-01
1646,1,1,2000-01-01
1737,1,1,2000-01-01
1616,1,1,2000-01-01
1603,1,1,2000-01-01
1688,1,1,2000-01-01
1604,1,1,2000-01-01
1627,1,1,2000-01-01
1602,1,1,2000-01-01
1722,1,1,2000-01-01
1621,1,1,2000-01-01
1676,1,1,2000-01-01
1742,1,1,2000-01-01
1640,1,1,2000-01-01
1749,1,1,2000-01-01
1657,1,1,2000-01-01
1590,1,1,2000-01-01
1641,1,1,2000-01-01
1723,1,1,2000-01-01
1733,1,1,2000-01-01
1617,1,1,2000-01-01
1685,1,1,2000-01-01
1625,1,1,2000-01-01
1658,1,1,2000-01-01
1687,1,1,2000-01-01
1712,1,1,2000-01-01
1714,1,1,2000-01-01
1718,1,1,2000-01-01
1741,1,1,2000-01-01
1738,1,1,2000-01-01
1668,1,1,2000-01-01
1698,1,1,2000-01-01
1745,1,1,2000-01-01
1614,1,1,2000-01-01
1727,1,1,2000-01-01
1721,1,1,2000-01-01
1674,1,1,2000-01-01
1644,1,1,2000-01-01
1630,1,1,2000-01-01
1638,1,1,2000-01-01
1682,1,1,2000-01-01
1632,1,1,2000-01-01
1719,1,1,2000-01-01
1654,1,1,2000-01-01
1647,1,1,2000-01-01
1620,1,1,2000-01-01
1694,1,1,2000-01-01
1584,1,1,2000-01-01
1636,1,1,2000-01-01
1677,1,1,2000-01-01
1650,1,1,2000-01-01
1725,1,1,2000-01-01
1716,1,1,2000-01-01
1703,1,1,2000-01-01
1681,1,1,2000-01-01
1702,1,1,2000-01-01
1711,1,1,2000-01-01
1697,1,1,2000-01-01
1748,1,1,2000-01-01
1591,1,1,2000-01-01
1735,1,1,2000-01-01
1692,1,1,2000-01-01
1589,1,1,2000-01-01
1728,1,1,2000-01-01
1739,1,1,2000-01-01
1631,1,1,2000-01-01
1609,1,1,2000-01-01
1743,1,1,2000-01-01
